,Affiliate,Age,Height,Weight,Sprint 400m,Clean & Jerk,Snatch,Deadlift,Back Squat,Max Pull-ups
Nkosi Campbell,CrossFit Greensboro,37.0,67.0,177.0,--,325.0,265.0,405.0,435.0,63.0
Jordan Holland,Xplore CrossFit,35.0,71.0,0.0,1:01,295.0,230.0,560.0,405.0,65.0
Martin Tunhag,Unaffiliated,26.0,7.0,199.0,53:19,286.0,231.0,440.0,352.0,47.0
David Jonatansson,Reebok CrossFit Reykjavík,28.0,0.0,187.0,--,0.0,0.0,0.0,0.0,0.0
Lachlan McGonigle,CrossFit Newton,23.0,0.0,183.0,--,0.0,0.0,0.0,0.0,0.0
Shingo Moromasa,CrossFit CSTL,29.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Moritz König,CrossFit Weinstrasse,26.0,0.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Nathan Beveridge,CrossFit Fraser Valley,35.0,74.0,201.0,0:56,330.0,266.0,540.0,450.0,60.0
Gabriel Fung,Reebok CrossFit PTY,21.0,6.0,160.0,1:10,305.0,235.0,375.0,360.0,63.0
Joshua Santhou,PH CrossFit,27.0,7.0,191.0,--,308.0,271.0,507.0,440.0,0.0
Charlie Hulbert,CrossFit Coveted,27.0,68.0,188.0,--,340.0,290.0,445.0,450.0,50.0
Alex Burdett,Undefeated CrossFit,23.0,69.0,185.0,--,300.0,230.0,465.0,385.0,0.0
Francisco Javier,CrossFit SP,30.0,6.0,160.0,0:00,300.0,235.0,495.0,374.0,50.0
Aaron Knisley,CrossFit Future,25.0,73.0,208.0,--,325.0,255.0,515.0,445.0,0.0
Jonghwa Son,CrossFit Moodori,28.0,6.0,154.0,--,198.0,176.0,396.0,374.0,40.0
Yavuz Senturk,,26.0,6.0,178.0,--,0.0,0.0,0.0,0.0,0.0
Dalton Spanbauer,Backcountry CrossFit,24.0,67.0,184.0,0:50,255.0,235.0,460.0,400.0,0.0
Carson Davis,Big Barn CrossFit,24.0,69.0,180.0,--,0.0,0.0,0.0,0.0,0.0
Tyler Cummings,CrossFit CSA,24.0,73.0,210.0,--,360.0,285.0,500.0,475.0,0.0
Turoa Needham,Injustice CrossFit,34.0,0.0,198.0,--,0.0,0.0,0.0,0.0,0.0
Tola Morakinyo,Unaffiliated,21.0,72.0,200.0,--,355.0,315.0,573.0,455.0,0.0
Samuel Mitchel,CrossFit Arifjan,27.0,69.0,190.0,--,0.0,0.0,0.0,0.0,0.0
Omar Fleah,CrossFit Engine 38,25.0,6.0,0.0,--,0.0,0.0,0.0,0.0,0.0
Thomas Barrick,NewCov CrossFit,27.0,74.0,205.0,--,330.0,265.0,525.0,455.0,0.0
Sean Malloy,CrossFit T-Town South,41.0,74.0,200.0,--,295.0,225.0,555.0,385.0,60.0
Hunter Wood,,26.0,68.0,177.0,--,280.0,225.0,420.0,395.0,0.0
Jake Frye,CrossFit 43123,26.0,71.0,175.0,--,285.0,225.0,455.0,355.0,48.0
Brandon Casey,CrossFit Conjugate,25.0,68.0,178.0,--,0.0,200.0,430.0,0.0,0.0
Michael Butts,CrossFit Sanitas,37.0,69.0,190.0,--,315.0,265.0,445.0,405.0,45.0
Shawn Rider,Shenandoah CrossFit,28.0,72.0,189.0,0:00,0.0,0.0,0.0,0.0,0.0
Drew Hymer,Koda CrossFit,30.0,72.0,225.0,1:04,3325.0,290.0,625.0,550.0,57.0
Brandon Leatherberry,Unaffiliated,34.0,72.0,185.0,1:01,235.0,190.0,415.0,320.0,49.0
