,Name,Division,OverallScore,Rank,Wk1_Score,Wk1_Rank,Wk2_Score,Wk2_Rank,Wk3_Score,Wk3_Rank,Wk4_Score,Wk4_Rank,Wk5_Score,Wk5_Rank
36929,Christina Mirides,I-Women,10499,1597,107,1420,60,4558,310,1699,240,1414,96,1408
53614,Lindsey Nichols,I-Women,10504,1598,100,3270,86,511,314,1551,240,1414,78,3758
3797,Sara Urban,I-Women,10507,1599,91,6563,90,159,301,2103,240,1414,115,268
46842,Carolyn Napier,I-Women,10515,1600,120,198,61,4006,309,1742,240,1414,81,3155
33792,Kristi Hrivnak,I-Women,10517,1601,100,3270,70,1993,320,1321,241,1152,83,2781
82145,Cathy Blackwell,I-Women,10542,1602,105,1819,67,2460,275,3310,240,1414,94,1539
36454,Cristen Micu,I-Women,10548,1603,106,1604,60,4558,310,1699,240,1414,98,1273
50901,Andrea Sanborn,I-Women,10552,1604,101,2921,66,2633,307,1827,240,1414,90,1757
23799,Holly Gundrum,I-Women,10561,1605,105,1819,72,1690,277,3176,240,1414,85,2462
63381,Hannah Friedel,I-Women,10566,1606,104,2074,79,970,271,3646,240,1414,85,2462
8923,Amber Isaac,I-Women,10575,1607,110,963,68,2289,299,2151,240,1414,78,3758
19678,Kenni Palmer,I-Women,10576,1608,95,4890,80,907,320,1321,240,1414,88,2044
64808,Ashley Brand,I-Women,10582,1609,96,4546,75,1322,334,988,240,1414,86,2312
23828,Courtney Johnson,I-Women,10585,1610,96,4546,66,2633,308,1787,247,405,99,1214
8676,Shannon Isbell,I-Women,10585,1610,112,702,65,2822,279,3017,240,1414,84,2630
13569,bridgette smith,I-Women,10591,1612,109,1129,60,4558,281,2898,242,962,101,1044
62554,Brooke Ence,I-Women,10594,1613,91,6563,90,159,325,1161,245,545,87,2166
2528,Marie Collis,I-Women,10595,1614,115,467,61,4006,279,3017,240,1414,91,1691
7052,Junay Hom,I-Women,10596,1615,106,1604,60,4558,294,2316,243,783,97,1335
23204,Jennifer LaCoss,I-Women,10601,1616,104,2074,66,2633,290,2436,240,1414,88,2044
8990,Mandi Newsome,I-Women,10602,1617,97,4201,69,2133,315,1472,241,1152,92,1644
49736,Lesley Naumowich,I-Women,10604,1618,102,2584,63,3316,293,2338,241,1152,99,1214
8417,Mel Cupitt,I-Women,10611,1619,134,14,60,4558,287,2581,240,1414,88,2044
20100,Cherie Nabeta,I-Women,10613,1620,100,3270,65,2822,325,1161,240,1414,89,1946
23620,Jesse Currie,I-Women,10615,1621,109,1129,60,4558,304,1922,242,962,88,2044
56091,Sonia Vaquerano,I-Women,10620,1622,103,2314,61,4006,294,2316,240,1414,108,570
32467,Marie Chan,I-Women,10625,1623,101,2921,72,1690,303,1970,240,1414,84,2630
17157,Elizabeth Korslund,I-Women,10648,1624,109,1129,73,1558,291,2406,240,1414,76,4141
43131,Amy james,I-Women,10657,1625,105,1819,61,4006,315,1472,240,1414,89,1946
43870,Kayley DeLaGarza,I-Women,10661,1626,109,1129,60,4558,295,2287,240,1414,98,1273
80374,Noelle Ybarra,I-Women,10678,1627,110,963,60,4558,310,1699,240,1414,88,2044
14570,amy omessi,I-Women,10682,1628,106,1604,64,3065,295,2287,240,1414,86,2312
4834,Angela Hitch,I-Women,10699,1629,101,2921,74,1435,303,1970,240,1414,82,2959
7569,Alana Biggam,I-Women,10700,1630,99,3645,73,1558,338,928,240,1414,81,3155
25508,Kara Foster,I-Women,10703,1631,111,833,62,3630,320,1321,242,962,77,3957
7473,Erica Miller,I-Women,10708,1632,108,1271,69,2133,349,704,240,1414,69,5186
13750,Kandace Wilson,I-Women,10710,1633,98,3908,78,1040,298,2182,240,1414,87,2166
30383,Ashley Hartgrove,I-Women,10711,1634,101,2921,66,2633,299,2151,242,962,88,2044
17868,Jasmine Giles,I-Women,10713,1635,100,3270,84,619,246,5214,240,1414,118,196
13915,marcie fyock,I-Women,10715,1636,110,963,60,4558,313,1580,241,1152,85,2462
13962,Tiffany Radaz,I-Women,10716,1637,125,73,60,4558,288,2505,240,1414,87,2166
38399,Ginny Niblock,I-Women,10720,1638,113,608,60,4558,319,1359,240,1414,83,2781
4358,Simone Endriss Nielson,I-Women,10727,1639,92,6096,85,570,339,890,240,1414,90,1757
3695,Laurissa Dunajski,I-Women,10740,1640,108,1271,60,4558,314,1551,240,1414,89,1946
47813,Bernie Murch,I-Women,10743,1641,119,242,60,4558,292,2379,243,783,83,2781
39316,Laura Muddiman,I-Women,10745,1642,99,3645,93,73,315,1472,240,1414,76,4141
12786,Kenzie Rowland,I-Women,10756,1643,93,5693,78,1040,311,1656,240,1414,102,953
15635,christine ford,I-Women,10756,1643,100,3270,69,2133,298,2182,240,1414,90,1757
22643,Carla Bezold,I-Women,10762,1645,96,4546,71,1846,309,1742,240,1414,99,1214
51412,Anne MacLaurin,I-Women,10765,1646,110,963,61,4006,286,2625,240,1414,90,1757
8446,Ashley Beaver,I-Women,10770,1647,114,540,68,2289,267,3897,240,1414,84,2630
10057,Melinda Metten,I-Women,10772,1648,98,3908,79,970,310,1699,240,1414,83,2781
21642,Allison Ehle,I-Women,10773,1649,109,1129,68,2289,267,3897,240,1414,88,2044
1949,Audra Arlain,I-Women,10775,1650,102,2584,64,3065,276,3235,243,783,100,1108
36176,Lindsey Johnson,I-Women,10776,1651,98,3908,76,1224,279,3017,241,1152,95,1475
23750,Erin Kreiger,I-Women,10789,1652,91,6563,90,159,316,1439,240,1414,99,1214
23139,Catherine Frappier,I-Women,10803,1653,97,4201,77,1118,314,1551,241,1152,83,2781
37559,Mallory Lazell,I-Women,10805,1654,100,3270,75,1322,279,3017,241,1152,88,2044
57034,Shanna Dawley,I-Women,10830,1655,93,5693,85,570,315,1472,243,783,86,2312
20523,Katie Demboski,I-Women,10830,1655,109,1129,66,2633,267,3897,240,1414,90,1757
17321,Lacey Whitehouse,I-Women,10833,1657,96,4546,80,907,304,1922,240,1414,88,2044
28123,Vanessa Silva,I-Women,10838,1658,106,1604,68,2289,318,1390,240,1414,76,4141
46062,Alison Price,I-Women,10840,1659,100,3270,70,1993,311,1656,242,962,82,2959
8057,Megan Smedley,I-Women,10840,1659,104,2074,60,4558,331,1037,240,1414,90,1757
12065,Sarah White-Parks,I-Women,10851,1661,93,5693,79,970,298,2182,242,962,101,1044
25979,Rosie Plowman,I-Women,10863,1662,100,3270,62,3630,322,1252,245,545,87,2166
20268,Amy Paderta,I-Women,10864,1663,105,1819,60,4558,309,1742,241,1152,93,1593
48147,Kelsey Hamilton,I-Women,10871,1664,97,4201,72,1690,285,2685,244,651,92,1644
28107,KAREN FRIESEN,I-Women,10877,1665,104,2074,60,4558,308,1787,240,1414,101,1044
21281,Shondra Ritter,I-Women,10891,1666,106,1604,60,4558,289,2469,241,1152,100,1108
19406,Katrina Perry,I-Women,10899,1667,102,2584,72,1690,254,4628,243,783,99,1214
6659,Jasmin Moler,I-Women,10902,1668,105,1819,63,3316,278,3139,240,1414,99,1214
29087,Sarah Stobbe,I-Women,10905,1669,111,833,60,4558,286,2625,240,1414,95,1475
26119,Karine St-Louis,I-Women,10905,1669,100,3270,76,1224,285,2685,240,1414,86,2312
13867,Rebecca Muska,I-Women,10913,1671,107,1420,61,4006,294,2316,240,1414,90,1757
22534,Kelleigh Masciangelo,I-Women,10915,1672,112,702,83,680,301,2103,196,7189,116,241
11664,Leigh LeGare,I-Women,10919,1673,96,4546,90,159,293,2338,240,1414,85,2462
81370,Stephanie England,I-Women,10919,1673,103,2314,60,4558,308,1787,241,1152,100,1108
47713,natalie mark,I-Women,10923,1675,109,1129,60,4558,311,1656,240,1414,87,2166
5985,Ana Apostol,I-Women,10929,1676,105,1819,64,3065,321,1281,240,1414,80,3350
7337,Deb Evans,I-Women,10932,1677,112,702,68,2289,267,3897,240,1414,84,2630
38820,sue tzong,I-Women,10938,1678,97,4201,76,1224,308,1787,240,1414,86,2312
48796,Tracey Gallo,I-Women,10938,1678,100,3270,70,1993,297,2217,240,1414,88,2044
16844,Sarah Rich,I-Women,10949,1680,110,963,62,3630,308,1787,240,1414,81,3155
8974,Melisa Chudobiak,I-Women,10955,1681,95,4890,82,743,299,2151,240,1414,90,1757
45698,Logan Vanderpool,I-Women,10956,1682,100,3270,81,823,254,4628,242,962,98,1273
30906,Darcy Franklin,I-Women,10959,1683,99,3645,65,2822,303,1970,240,1414,100,1108
15172,Catherine Onnen,I-Women,10964,1684,107,1420,77,1118,262,4231,240,1414,83,2781
9186,Laura Pappas,I-Women,10966,1685,109,1129,60,4558,310,1699,240,1414,87,2166
34731,Whitney Wilson,I-Women,10972,1686,100,3270,75,1322,333,1009,240,1414,77,3957
62786,Jenna Stitzel,I-Women,10974,1687,105,1819,61,4006,296,2240,241,1152,90,1757
45215,Laura Moore,I-Women,10975,1688,99,3645,83,680,305,1886,240,1414,80,3350
17196,Danielle Ring,I-Women,10978,1689,102,2584,60,4558,321,1281,242,962,93,1593
37866,Allison Milodragovich,I-Women,10983,1690,102,2584,70,1993,276,3235,240,1414,90,1757
43820,Lindsey Boyer,I-Women,11008,1691,94,5284,70,1993,300,2128,243,783,104,820
28587,Anna Sutherland,I-Women,11011,1692,99,3645,69,2133,300,2128,240,1414,91,1691
69688,Petra Saltzman,I-Women,11019,1693,104,2074,62,3630,316,1439,240,1414,85,2462
63097,Vanessa Fuentes,I-Women,11023,1694,112,702,65,2822,272,3566,241,1152,83,2781
23788,Cori Preheim,I-Women,11028,1695,97,4201,60,4558,330,1052,251,173,101,1044
15355,Shelby Boyuls,I-Women,11033,1696,116,387,60,4558,272,3566,240,1414,100,1108
41988,Becca King,I-Women,11034,1697,105,1819,73,1558,285,2685,240,1414,79,3558
51019,Laura MacDonald,I-Women,11040,1698,110,963,60,4558,272,3566,245,545,96,1408
7390,Crystal Kirby-Peloquin,I-Women,11049,1699,92,6096,77,1118,286,2625,245,545,107,665
33204,Michelle Castelvecchi,I-Women,11051,1700,117,328,60,4558,303,1970,240,1414,83,2781
37344,Ulrika Nieminen,I-Women,11051,1700,101,2921,70,1993,274,3388,240,1414,97,1335
40858,Valentine Calvin,I-Women,11057,1702,106,1604,60,4558,281,2898,243,783,99,1214
12798,Casey Johnson,I-Women,11064,1703,103,2314,61,4006,304,1922,240,1414,96,1408
51271,Samantha Griffith,I-Women,11073,1704,99,3645,90,159,288,2505,240,1414,80,3350
8390,Leah Davis,I-Women,11073,1704,118,279,60,4558,315,1472,240,1414,80,3350
6737,Ashley Ramsey,I-Women,11074,1706,107,1420,64,3065,266,4049,243,783,90,1757
8595,Julie Pickler,I-Women,11075,1707,103,2314,70,1993,275,3310,240,1414,88,2044
6360,Nicole Dupont,I-Women,11082,1708,105,1819,60,4558,281,2898,240,1414,112,393
5615,Nemecia Kaloper,I-Women,11084,1709,102,2584,60,4558,304,1922,245,545,95,1475
